,question,answer,right_answer,probs,gen_answer,explanation,is_correct
0,The type of discretionary access control (DAC) that is based on an individual's identity is also called: [A] Identity-based Access control [B.] Rule-based Access control [C.] Non-Discretionary Access Control [D.] Lattice-based Access control,"{""answer"":""A"", ""explanation"": ""DAC that is based on an individual's identity is also called Identity-based Access control.""} <end>",A,"tensor([7.1783e-06, 6.7292e-07, 1.5311e-07,  ..., 1.0118e-08, 1.0138e-08,
        1.0138e-08])",A,DAC that is based on an individual's identity is also called Identity-based Access control.,True
1,Which access control type has a central authority that determine to what objects the subjects have access to and it is based on role or on the organizational security policy? [A] Mandatory Access Control [B.] Discretionary Access Control [C.] Non-Discretionary Access Control [D.] Rule-based Access control,"{""answer"":""C"", ""explanation"": ""Non-Discretionary Access Control (NDAC) is a type of access control where a central authority determines to what objects subjects have access to. It is based on role or on the organizational security policy. This type of access control is also known as Role-Based Access Control (RBAC).""} <end>",C,"tensor([1.7056e-06, 5.1011e-07, 1.3411e-07,  ..., 1.5769e-08, 1.5769e-08,
        1.5769e-08])",C,Non-Discretionary Access Control (NDAC) is a type of access control where a central authority determines to what objects subjects have access to. It is based on role or on the organizational security policy. This type of access control is also known as Role-Based Access Control (RBAC).,True
2,"Which of the following control pairings include: organizational policies and procedures, pre- employment background checks, strict hiring practices, employment agreements, employee termination procedures, vacation scheduling, labeling of sensitive materials, increased supervision, security awareness training, behavior awareness, and sign-up procedures to obtain access to information systems and networks? [A] Preventive/Administrative Pairing [B.] Preventive/Technical Pairing [C.] Preventive/Physical Pairing [D.] Detective/Administrative Pairing","{""answer"": ""A"", ""explanation"": ""Preventive/Administrative Pairing includes controls that are implemented to prevent security breaches, such as organizational policies and procedures, pre-employment background checks, strict hiring practices, employment agreements, employee termination procedures, vacation scheduling, labeling of sensitive materials, increased supervision, security awareness training, behavior awareness, and sign-up procedures to obtain access to information systems and networks. These controls are designed to prevent unauthorized access to sensitive information and systems.""} <end>",A,"tensor([2.6354e-06, 2.0401e-07, 6.0543e-08,  ..., 7.2308e-09, 7.2308e-09,
        7.2308e-09])",A,"Preventive/Administrative Pairing includes controls that are implemented to prevent security breaches, such as organizational policies and procedures, pre-employment background checks, strict hiring practices, employment agreements, employee termination procedures, vacation scheduling, labeling of sensitive materials, increased supervision, security awareness training, behavior awareness, and sign-up procedures to obtain access to information systems and networks. These controls are designed to prevent unauthorized access to sensitive information and systems.",True
3,External consistency ensures that the data stored in the database is: [A] in-consistent with the real world. [B.] remains consistant when sent from one system to another. [C.] consistent with the logical world. [D.] consistent with the real world.,"{""answer"":""B"", ""explanation"": ""External consistency is the consistency of data when it is sent from one system to another. It ensures that the data is consistent when it is exchanged between different systems, applications, or databases. This is important for maintaining data integrity and ensuring that data is not corrupted or lost during transmission.""} <end>",D,"tensor([6.4854e-06, 2.5945e-07, 2.3623e-07,  ..., 8.9475e-09, 8.9475e-09,
        8.9475e-09])",B,"External consistency is the consistency of data when it is sent from one system to another. It ensures that the data is consistent when it is exchanged between different systems, applications, or databases. This is important for maintaining data integrity and ensuring that data is not corrupted or lost during transmission.",False
4,A central authority determines what subjects can have access to certain objects based on the organizational security policy is called: [A] Mandatory Access Control [B.] Discretionary Access Control [C.] Non-Discretionary Access Control [D.] Rule-based Access control,"{""answer"":""A"", ""explanation"": ""Mandatory Access Control (MAC) is a type of access control in which the operating system enforces a security policy based on the sensitivity of the data and the clearance of the user. It is based on the organizational security policy and is used to control access to objects based on their classification and the user's clearance. It is a central authority that determines what subjects can have access to certain objects. This is in contrast to Discretionary Access Control (DAC) which allows users to control access to objects based on their own rules, and Rule-based Access control which is based on a set of rules defined by the user or administrator. Non-Discretionary Access Control is not a standard term in access control theory. ""} <end>",C,"tensor([2.0560e-06, 1.0769e-07, 8.0973e-08,  ..., 1.1803e-08, 1.1803e-08,
        1.1803e-08])",A,"Mandatory Access Control (MAC) is a type of access control in which the operating system enforces a security policy based on the sensitivity of the data and the clearance of the user. It is based on the organizational security policy and is used to control access to objects based on their classification and the user's clearance. It is a central authority that determines what subjects can have access to certain objects. This is in contrast to Discretionary Access Control (DAC) which allows users to control access to objects based on their own rules, and Rule-based Access control which is based on a set of rules defined by the user or administrator. Non-Discretionary Access Control is not a standard term in access control theory. ",False
5,"What is called the act of a user professing an identity to a system, usually in the form of a log-on ID? [A] Authentication [B.] Identification [C.] Authorization [D.] Confidentiality","{""answer"":""B"", ""explanation"": ""Identification is the act of a user professing an identity to a system, usually in the form of a log-on ID. This is the first step in the process of gaining access to a system, and it does not necessarily mean that the user is who they claim to be. Authentication is the process of verifying the user's identity, which is the second step. Authorization is the process of granting or denying access to a system based on the user's identity and the permissions assigned to them. Confidentiality is the process of protecting sensitive information from unauthorized access.""} <end>",B,"tensor([1.0125e-05, 2.9288e-07, 3.0217e-07,  ..., 1.3486e-08, 1.3486e-08,
        1.3486e-08])",B,"Identification is the act of a user professing an identity to a system, usually in the form of a log-on ID. This is the first step in the process of gaining access to a system, and it does not necessarily mean that the user is who they claim to be. Authentication is the process of verifying the user's identity, which is the second step. Authorization is the process of granting or denying access to a system based on the user's identity and the permissions assigned to them. Confidentiality is the process of protecting sensitive information from unauthorized access.",True
6,"Which one of the following factors is NOT one on which Authentication is based? [A] Type 1 Something you know, such as a PIN or password [B.] Type 2 Something you have, such as an ATM card or smart card [C.] Type 3 Something you are (based upon one or more intrinsic physical or behavioral traits), such as a fingerprint or retina scan [D.] Type 4 Something you are, such as a system administrator or security administrator","{""answer"":""D"", ""explanation"": ""Authentication is based on what you know, what you have, and what you are. Type 1, Type 2, and Type 3 are all examples of what you know, what you have, and what you are respectively. Type 4 is a job title, which is not a factor used in authentication. Therefore, Type 4 is NOT one on which Authentication is based.""} <end>",D,"tensor([4.4043e-06, 4.0648e-07, 1.8321e-07,  ..., 3.6426e-09, 3.6426e-09,
        3.6426e-09])",D,"Authentication is based on what you know, what you have, and what you are. Type 1, Type 2, and Type 3 are all examples of what you know, what you have, and what you are respectively. Type 4 is a job title, which is not a factor used in authentication. Therefore, Type 4 is NOT one on which Authentication is based.",True
7,What is called the verification that the user's claimed identity is valid and is usually implemented through a user password at log-on time? [A] Authentication [B.] Identification [C.] Integrity [D.] Confidentiality,"{""answer"":""A"", ""explanation"": ""Authentication is the verification that the user's claimed identity is valid and is usually implemented through a user password at log-on time. It is the process of confirming the identity of a user, device, or other entity in a computer system, network, or application. It is a critical security measure that ensures only authorized individuals or systems have access to sensitive information or resources. In the context of the given options, authentication is the correct answer because it directly relates to the process of verifying a user's identity through a password at log-on time.""} <end>",A,"tensor([3.5435e-06, 1.4741e-07, 9.6671e-08,  ..., 1.2387e-08, 1.2387e-08,
        1.2387e-08])",A,"Authentication is the verification that the user's claimed identity is valid and is usually implemented through a user password at log-on time. It is the process of confirming the identity of a user, device, or other entity in a computer system, network, or application. It is a critical security measure that ensures only authorized individuals or systems have access to sensitive information or resources. In the context of the given options, authentication is the correct answer because it directly relates to the process of verifying a user's identity through a password at log-on time.",True
8,The act of requiring two of the three factors to be used in the authentication process refers to: [A] Two-Factor Authentication [B.] One-Factor Authentication [C.] Bi-Factor Authentication [D.] Double Authentication,"{""answer"": ""A"", ""explanation"": ""Two-Factor Authentication is the process of requiring two of the three factors to be used in the authentication process. The factors are: something you know (password), something you have (smart card), and something you are (fingerprint).""} <end>",A,"tensor([4.8597e-06, 3.6038e-07, 7.0411e-08,  ..., 1.4389e-08, 1.4389e-08,
        1.4389e-08])",A,"Two-Factor Authentication is the process of requiring two of the three factors to be used in the authentication process. The factors are: something you know (password), something you have (smart card), and something you are (fingerprint).",True
9,Which type of password provides maximum security because a new password is required for each new log-on? [A] One-time or dynamic password [B.] Congnitive password [C.] Static password [D.] Passphrase,"{""answer"": ""A"", ""explanation"": ""One-time or dynamic passwords are generated randomly for each new log-on and are valid for only one use, providing maximum security. They are more secure than static passwords as they are not guessable by the attacker. ""} <end>",A,"tensor([5.4371e-06, 5.4682e-07, 2.4076e-07,  ..., 2.9726e-08, 2.9726e-08,
        2.9726e-08])",A,"One-time or dynamic passwords are generated randomly for each new log-on and are valid for only one use, providing maximum security. They are more secure than static passwords as they are not guessable by the attacker. ",True
